No.;Player;Pos;Ht;Wt;Birth Date;;Exp;College;Player-additional;Season
6;Jordan Clarkson;SG;6-4;194;June 7 1992;us;1;Tulsa Missouri;clarkjo01;15_16
17;Roy Hibbert;C;7-2;270;December 11 1986;us;7;Georgetown;hibbero01;15_16
9;Marcelo Huertas;PG;6-3;200;May 25 1983;br;R;;huertma01;15_16
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;2;Duke;kellyry01;15_16
7;Larry Nance Jr.;PF;6-7;245;January 1 1993;us;R;Wyoming;nancela02;15_16
30;Julius Randle;PF;6-8;250;November 29 1994;us;1;Kentucky;randlju01;15_16
1;D'Angelo Russell;PG;6-4;193;February 23 1996;us;R;Ohio State;russeda01;15_16
50;Robert Sacre;C;7-0;270;June 6 1989;us;3;Gonzaga;sacrero01;15_16
23;Lou Williams;SG;6-1;175;October 27 1986;us;10;;willilo02;15_16
37;Metta World Peace;SF;6-7;260;November 13 1979;us;15;St. John's;artesro01;15_16
0;Nick Young;SG;6-7;210;June 1 1985;us;8;USC;youngni01;15_16
28;Tarik Black;C;6-9;250;November 22 1991;us;R;Memphis Kansas;blackta01;14_15
12;Vander Blue;SG;6-4;200;July 17 1992;us;1;Marquette;blueva01;14_15
5;Carlos Boozer;PF;6-9;258;November 20 1981;de;12;Duke;boozeca01;14_15
15;Jabari Brown;SG;6-4;215;December 18 1992;us;R;Oregon Missouri;brownja01;14_15
24;Kobe Bryant;SG;6-6;212;August 23 1978;us;18;;bryanko01;14_15
20;Dwight Buycks;PG;6-3;190;March 6 1989;us;1;Marquette;buyckdw01;14_15
6;Jordan Clarkson;PG;6-4;194;June 7 1992;us;R;Tulsa Missouri;clarkjo01;14_15
21;Ed Davis;PF;6-9;218;June 5 1989;us;4;UNC;davised01;14_15
2;Wayne Ellington;SG;6-4;207;November 29 1987;us;5;UNC;ellinwa01;14_15
7;Xavier Henry;SF;6-6;220;March 15 1991;be;4;Kansas;henryxa01;14_15
27;Jordan Hill;C;6-10;235;July 27 1987;us;5;Arizona;hilljo01;14_15
11;Wesley Johnson;SF;6-7;215;July 11 1987;us;4;Iowa State Syracuse;johnswe01;14_15
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;1;Duke;kellyry01;14_15
17;Jeremy Lin;PG;6-3;200;August 23 1988;us;4;Harvard University;linje01;14_15
9;Ronnie Price;PG;6-2;190;June 21 1983;us;9;Nicholls State Utah Valley;pricero01;14_15
30;Julius Randle;PF;6-8;250;November 29 1994;us;R;Kentucky;randlju01;14_15
50;Robert Sacre;C;7-0;270;June 6 1989;us;2;Gonzaga;sacrero01;14_15
0;Nick Young;SG;6-7;210;June 1 1985;us;7;USC;youngni01;14_15
6;Kent Bazemore;SG;6-4;195;July 1 1989;us;1;Old Dominion;bazemke01;13_14
5;Steve Blake;PG;6-3;172;February 26 1980;us;10;Maryland;blakest01;13_14
2;MarShon Brooks;SG;6-5;200;January 26 1989;us;2;Providence;brookma01;13_14
24;Kobe Bryant;SG;6-6;212;August 23 1978;us;17;;bryanko01;13_14
1;Jordan Farmar;PG;6-2;180;November 30 1986;us;6;UCLA;farmajo01;13_14
16;Pau Gasol;C;7-0;250;July 6 1980;es;12;;gasolpa01;13_14
2;Elias Harris;SF;6-8;239;July 6 1989;de;R;Gonzaga;harriel01;13_14
3;Manny Harris;SG;6-5;185;September 21 1989;us;2;Michigan;harrima01;13_14
7;Xavier Henry;SF;6-6;220;March 15 1991;be;3;Kansas;henryxa01;13_14
27;Jordan Hill;PF;6-10;235;July 27 1987;us;4;Arizona;hilljo01;13_14
11;Wesley Johnson;SF;6-7;215;July 11 1987;us;3;Iowa State Syracuse;johnswe01;13_14
9;Chris Kaman;C;7-0;265;April 28 1982;us;10;Central Michigan University;kamanch01;13_14
4;Ryan Kelly;PF;6-11;230;April 9 1991;us;R;Duke;kellyry01;13_14
12;Kendall Marshall;PG;6-4;200;August 19 1991;us;1;UNC;marshke01;13_14
20;Jodie Meeks;SG;6-4;210;August 21 1987;us;4;Kentucky;meeksjo01;13_14
10;Steve Nash;PG;6-3;195;February 7 1974;za;17;Santa Clara;nashst01;13_14
50;Robert Sacre;C;7-0;270;June 6 1989;us;1;Gonzaga;sacrero01;13_14
3;Shawne Williams;PF;6-9;225;February 16 1986;us;5;Memphis;willish03;13_14
0;Nick Young;SG;6-7;210;June 1 1985;us;6;USC;youngni01;13_14
